station_id,latitude,longitude,population,capacity,zone_id,Acres,Persons Per Acre ,capacity per 1000
492,40.75019995,-73.99093085,1116,68,1010100,43.37,25.7,60.93
3502,40.7954121,-73.9441232,5504,29,1017200,43.97,125.2,5.27
3318,40.7839636,-73.9471673,5345,39,1015601,18.18,294,7.3
303,40.72362738,-73.99949601,4942,67,1004900,51.23,96.5,13.56
3463,40.73536706,-73.98797393,5055,37,1005000,41.22,122.6,7.32
3402,40.6902375,-73.99203074,4172,23,3000900,39.88,104.6,5.51
3560,40.754876,-73.934326,1388,19,4003100,40.76,34.1,13.69
386,40.71494807,-74.00234482,2550,43,1003100,50.79,50.2,16.86
399,40.68851534,-73.9647628,5628,27,3019300,66.65,84.4,4.8
503,40.73827428,-73.98751968,5055,31,1005000,41.22,122.6,6.13
3177,40.7867947,-73.977112,8989,63,1017100,53.9,166.8,7.01
3538,40.802692,-73.96295,641,45,1019701,58.31,11,70.2
3504,40.8029263,-73.9379,3931,27,1019600,43.78,89.8,6.87
3321,40.6831164,-73.99785267,3301,25,3006700,38.58,85.6,7.57
3179,40.698617,-73.941342,428,23,3028501,20.57,20.8,53.74
498,40.74854862,-73.98808416,2277,33,1007600,43.06,52.9,14.49
3163,40.7734066,-73.97782542,25,43,1014300,726.47,0,1720
3656,40.72307749,-73.98583621,3106,46,1003002,19.4,160.1,14.81
3173,40.77750703,-73.98888588,9350,39,1015500,51.21,182.6,4.17
3293,40.7921,-73.9739,9293,24,1017900,53,175.3,2.58
3002,40.711512,-74.015756,5677,25,1031704,63.66,89.2,4.4
509,40.7454973,-74.00197139,5708,33,1008900,40.91,139.5,5.78
3080,40.70934,-73.95608,6629,21,3052700,47.1,140.7,3.17
267,40.75097711,-73.98765428,183,57,1010900,43.43,4.2,311.48
515,40.76009437,-73.99461843,8554,35,1012100,44.02,194.3,4.09
410,40.72066442,-73.98517977,4492,45,1003001,30.68,146.4,10.02
518,40.74780373,-73.9734419,8391,39,1007800,43.85,191.4,4.65
229,40.72743423,-73.99379025,2257,23,1005502,28.54,79.1,10.19
3116,40.73266,-73.95826,4360,35,3056300,96.31,45.3,8.03
3659,40.74294892,-74.00413692,4092,33,1008300,43.04,95.1,8.06
3154,40.77314236,-73.95856158,7813,31,1014000,44.26,176.5,3.97
432,40.72621788,-73.98379855,8234,31,1003200,53.79,153.1,3.76
3124,40.74731,-73.95451,4949,27,4000100,282.59,17.5,5.46
402,40.7403432,-73.98955109,3322,39,1005600,42.9,77.4,11.74
3562,40.6765198,-73.9596082,5549,27,3030500,79.69,69.6,4.87
326,40.72953837,-73.98426726,8651,41,1004000,44.07,196.3,4.74
3668,40.72395678,-73.94984365,4400,26,3057100,43.46,101.2,5.91
545,40.736502,-73.97809472,4511,27,1006000,31.48,143.3,5.99
421,40.69573398,-73.97129668,1411,19,3018700,19.98,70.6,13.47
270,40.69308257,-73.97178913,2500,23,3018300,33.93,73.7,9.2
3573,40.7580583,-73.9242751,4321,25,4005700,55.24,78.2,5.79
3429,40.68506807,-73.9779076,1554,39,3003500,32.87,47.3,25.1
528,40.74290902,-73.97706058,8871,39,1007000,43.82,202.4,4.4
3580,40.6737236,-73.9631611,4310,30,3020700,34.29,125.7,6.96
3263,40.72951496,-73.9907527,5145,59,1004200,21.15,243.3,11.47
3143,40.77632142,-73.96427393,25,47,1014300,726.47,0,1880
224,40.71146364,-74.00552427,5518,31,1001501,61.39,89.9,5.62
3577,40.7628138,-73.9342862,2437,23,4004300,42.21,57.7,9.44
217,40.70277159,-73.99383605,3604,39,3002100,122.21,29.5,10.82
